iter	Passed	Remaining
926	4088	321
927	4092	317
928	4096	313
929	4100	308
930	4105	304
931	4109	299
932	4113	295
933	4118	291
934	4123	286
935	4127	282
936	4131	277
937	4136	273
938	4140	268
939	4145	264
940	4150	260
941	4154	255
942	4158	251
943	4163	246
944	4167	242
945	4172	238
946	4177	233
947	4182	229
948	4186	224
949	4190	220
950	4194	216
951	4199	211
952	4203	207
953	4208	202
954	4213	198
955	4217	194
956	4221	189
957	4226	185
958	4230	180
959	4234	176
960	4239	172
961	4243	167
962	4247	163
963	4252	158
964	4258	154
965	4262	150
966	4267	145
967	4271	141
968	4276	136
969	4280	132
970	4284	127
971	4289	123
972	4293	119
973	4297	114
974	4302	110
975	4306	105
976	4310	101
977	4315	97
978	4319	92
979	4324	88
980	4328	83
981	4332	79
982	4337	75
983	4341	70
984	4344	66
985	4349	61
986	4353	57
987	4357	52
988	4361	48
989	4365	44
990	4369	39
991	4374	35
992	4379	30
993	4383	26
994	4387	22
995	4391	17
996	4395	13
997	4398	8
998	4402	4
999	4407	0
